pertanyaan,jawaban
"pidana mati, pidana penjara seumur hidup, atau pidana penjara paling lama 20 (dua puluh) tahun, pidana denda paling banyak untuk korporasi adalah kategori viii. membicarakan tentang?","pasal tersebut membicarakan pemidanaan, pidana, dan tindakan pidana dan tindakan bagi korporasi dan terdapat pada pasal 121"
pidana denda wajib dibayar dalam jangka waktu tertentu yang dimuat dalam putusan pengadilan. membicarakan tentang?,"pasal tersebut membicarakan pemidanaan, pidana, dan tindakan pidana dan tindakan bagi korporasi dan terdapat pada pasal 122"
putusan pengadilan sebagaimana dimaksud pada ayat (1) dapat menentukan pembayaran pidana denda dengan cara mengangsur. membicarakan tentang?,"pasal tersebut membicarakan pemidanaan, pidana, dan tindakan pidana dan tindakan bagi korporasi dan terdapat pada pasal 122"
"jika pidana denda sebagaimana dimaksud pada ayat (1) tidak dibayar dalam jangka waktu yang telah ditentukan, kekayaan atau pendapatan korporasi dapat disita dan dilelang oleh jaksa untuk melunasi pidana denda yang tidak dibayar. membicarakan tentang?","pasal tersebut membicarakan pemidanaan, pidana, dan tindakan pidana dan tindakan bagi korporasi dan terdapat pada pasal 122"
"dalam hal kekayaan atau pendapatan korporasi tidak mencukupi untuk melunasi pidana denda sebagaimana dimaksud pada ayat (3), korporasi dikenai pidana pengganti berupa pembekuan sebagian atau seluruh kegiatan usaha korporasi. membicarakan tentang?","pasal tersebut membicarakan pemidanaan, pidana, dan tindakan pidana dan tindakan bagi korporasi dan terdapat pada pasal 122"
tindakan yang dapat dikenakan bagi korporasi: membicarakan tentang?,"pasal tersebut membicarakan pemidanaan, pidana, dan tindakan pidana dan tindakan bagi korporasi dan terdapat pada pasal 123"
pengambilalihankorporasi; membicarakan tentang?,"pasal tersebut membicarakan pemidanaan, pidana, dan tindakan pidana dan tindakan bagi korporasi dan terdapat pada pasal 123"
penempatan di bawah pengawasan; dan/ atau membicarakan tentang?,"pasal tersebut membicarakan pemidanaan, pidana, dan tindakan pidana dan tindakan bagi korporasi dan terdapat pada pasal 123"
penempatan korporasi di bawah pengampuan. membicarakan tentang?,"pasal tersebut membicarakan pemidanaan, pidana, dan tindakan pidana dan tindakan bagi korporasi dan terdapat pada pasal 123"
ketentuan lebih lanjut mengenai tata cara pelaksanaan pidana dan tindakan bagi korporasi sebagaimana dimaksud dalam pasal 118 sampai dengan pasal 123 diatur dengan peraturan pemerintah. membicarakan tentang?,"pasal tersebut membicarakan pemidanaan, pidana, dan tindakan pidana dan tindakan bagi korporasi dan terdapat pada pasal 124"
"suatu perbuatan yang memenuhi lebih dari 1 (satu) ketentuan pidana yang diancam dengan ancaman pidana yang sama hanya dijatuhi i (satu) pidana, sedangkan jika ancaman pidananya berbeda dijatuhi pidana pokok yang paling berat. membicarakan tentang?","pasal tersebut membicarakan pemidanaan, pidana, dan tindakan perbarengan dan terdapat pada pasal 125"
"suatu perbuatan yang diatur dalam aturan pidana umum dan aturan pidana khusus hanya dijatuhi aturan pidana khusus, kecuali undang-undang menentukan lain. membicarakan tentang?","pasal tersebut membicarakan pemidanaan, pidana, dan tindakan perbarengan dan terdapat pada pasal 125"
"jika terjadi perbarengan beberapa tindak pidana yang saling berhubungan sehingga dipandang sebagai perbuatan berlanjut dan diancam dengan ancarnan pidana yang sama, hanya dijatuhi 1 (satu) pidana. membicarakan tentang?","pasal tersebut membicarakan pemidanaan, pidana, dan tindakan perbarengan dan terdapat pada pasal 126"
"jika perbarengan tindak pidana sebagaimana dimaksud pada ayat (l) diancam dengan pidana yang berbeda, hanya dijatuhi pidana pokok yang terberat. membicarakan tentang?","pasal tersebut membicarakan pemidanaan, pidana, dan tindakan perbarengan dan terdapat pada pasal 126"
"jika terjadi perbarengan beberapa tindak pidana yang harus dipandang sebagai tindak pidana yang berdiri sendiri dan diancam dengan pidana pokok yang sejenis, hanya diiatuhkan i (satu) pidana. membicarakan tentang?","pasal tersebut membicarakan pemidanaan, pidana, dan tindakan perbarengan dan terdapat pada pasal 127"
"maksimum pidana untuk perbarengan tindak pidana sebagaimana dimaksud pada ayat (l) adalah jumlah pidana yang diancamkan pada semua tindak pidana tersebut, tetapi tidak melebihi pidana yang terberat ditambah 1/3 (satu per tiga). membicarakan tentang?","pasal tersebut membicarakan pemidanaan, pidana, dan tindakan perbarengan dan terdapat pada pasal 127"
"jika terjadi perbarengan beberapa tindak pidana yang harus dipandang sebagai tindak pidana yang berdiri sendiri dan diancam dengan pidana pokok yang tidak sejenis, pidana yang dijatuhkan adalah semua jenis pidana untuk tindak pidana masing-masing, tetapi tidak melebihi maksimum pidana yang terberat ditambah l/3 (satu per tiga). membicarakan tentang?","pasal tersebut membicarakan pemidanaan, pidana, dan tindakan perbarengan dan terdapat pada pasal 128"
"dalam hal ketentuan sebagaimana dimaksud pada ayat (1) diancam dengan pidana denda, penghitungan denda didasarkan pada lama maksimum pidana penjara pengganti pidana denda membicarakan tentang?","pasal tersebut membicarakan pemidanaan, pidana, dan tindakan perbarengan dan terdapat pada pasal 128"
"jika tindak pidana yang dilakukan diancam dengan pidana minimum, minimum pidana untuk perbarengan sebagaimana dimaksud pada ayat (1) adalah jumlah pidana minimum khusus untuk tindak pidana masing masing, tetapi tidak melebihi pidana minimum khusus terberat ditambah 1/3 (satu per tiga). membicarakan tentang?","pasal tersebut membicarakan pemidanaan, pidana, dan tindakan perbarengan dan terdapat pada pasal 128"
"jika dalam perbarengan tindak pidana dljatuhi pidana mati atau pidana penjara seumur hidup, terdakwa tidak boleh dijatuhi pidana lain, kecuali pidana tambahan, yakni: membicarakan tentang?","pasal tersebut membicarakan pemidanaan, pidana, dan tindakan perbarengan dan terdapat pada pasal 129"
pencabutan hak tertentu; membicarakan tentang?,"pasal tersebut membicarakan pemidanaan, pidana, dan tindakan perbarengan dan terdapat pada pasal 129"
perampasan barang tertentu; dan/ atau membicarakan tentang?,"pasal tersebut membicarakan pemidanaan, pidana, dan tindakan perbarengan dan terdapat pada pasal 129"
pengumuman putusan pengadilan. membicarakan tentang?,"pasal tersebut membicarakan pemidanaan, pidana, dan tindakan perbarengan dan terdapat pada pasal 129"
"jika terjadi perbarengan sebagaimana dimaksud dalam pasal 127 dan pasal 129, penjatuhan pidana tambahan dilakukan dengan ketentuan sebagai berikut: membicarakan tentang?","pasal tersebut membicarakan pemidanaan, pidana, dan tindakan perbarengan dan terdapat pada pasal 130"
"pidana pencabutan hak yang sama dijadikan satu dengan ketentuan: l. paling singkat 2 (dua) tahun dan paling lama 5 (lima) tahun lebih lama dari pidana pokok yang dljatuhkan; atau 2. apabila pidana pokok yang diancamkan hanya pidana denda, lama pidana paling singkat 2 (dua) tahun dan paling lama 5 (lima) tahun. membicarakan tentang?","pasal tersebut membicarakan pemidanaan, pidana, dan tindakan perbarengan dan terdapat pada pasal 130"
pidana pencabutan hak yang berbeda dijatuhkan secara sendiri-sendiri untuk tiap tindak pidana tanpa dikurangi; atau membicarakan tentang?,"pasal tersebut membicarakan pemidanaan, pidana, dan tindakan perbarengan dan terdapat pada pasal 130"
pidana perampasan barang tertentu atau pidana pengganti dijatuhkan secara sendiri-sendiri untuk tiap tindak pidana tanpa dikurangi. membicarakan tentang?,"pasal tersebut membicarakan pemidanaan, pidana, dan tindakan perbarengan dan terdapat pada pasal 130"
ketentuan mengenai lamanya pidana pengganti bagi pidana perampasan barang tertentu sebagaimana dimaksud pada ayat. (1) huruf c berlaku ketentuan pidana pengganti untuk denda. membicarakan tentang?,"pasal tersebut membicarakan pemidanaan, pidana, dan tindakan perbarengan dan terdapat pada pasal 130"
"jika setiap orang telah dijatuhi pidana dan kembali dinyatakan bersalah melakukan tindak pidana lain sebelum putusan pidana itu diiatuhkan, pidana yang terdahulu diperhitungkan terhadap pidana yang akan dijatuhkan dengan menggunalan aturan perbarengan sebagaimana dimaksud dalam pasal 125 sampai dengan pasal l3o, seperti jika tindak pidana itu diadili secara bersama. membicarakan tentang?","pasal tersebut membicarakan pemidanaan, pidana, dan tindakan perbarengan dan terdapat pada pasal 131"
"jika pidana yang dijatuhkan sebagaimana dimaksud pada ayat (1) telah mencapai maksimum pidana, hakim cukup menyatakan bahwa terdakwa bersalah tanpa perlu diikuti pidana. membicarakan tentang?","pasal tersebut membicarakan pemidanaan, pidana, dan tindakan perbarengan dan terdapat pada pasal 131"
kewenangan penuntutan dinyatakan gugur jika: membicarakan tentang?,pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan penuntutan dan terdapat pada pasal 132
ada putusan pengadilan yang telah memperoleh kekuatan hukum tetap terhadap setiap orang atas perkara yang sama; membicarakan tentang?,pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan penuntutan dan terdapat pada pasal 132
tersangka atau terdakwa meninggal dunia; membicarakan tentang?,pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan penuntutan dan terdapat pada pasal 132
kedaluwarsa; membicarakan tentang?,pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan penuntutan dan terdapat pada pasal 132
maksimum pidana denda dibayar dengan sukarela bagi tindak pidana yang hanya diancam dengan pidana denda paling banyak kategori ii; membicarakan tentang?,pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan penuntutan dan terdapat pada pasal 132
maksimum pidana denda kategori iv dibayar dengan sukarela bagi tindak pidana yang diancam dengan pidana penjara paling lama i (satu) tahun atau pidana denda paling banyak kategori iii; membicarakan tentang?,pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan penuntutan dan terdapat pada pasal 132
ditariknya pengaduan bagi tindak pidana aduan; membicarakan tentang?,pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan penuntutan dan terdapat pada pasal 132
telah ada penyelesaian di luar proses peradilan sebagaimana diatur dalam undang-undang; atau membicarakan tentang?,pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan penuntutan dan terdapat pada pasal 132
diberikannya amnesti atau abolisi. membicarakan tentang?,pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan penuntutan dan terdapat pada pasal 132
ketentuan mengenai gugurnya kewenangan penuntutan bagi korporasi memperhatikan ketentuan sebagaimana dimaksud dalam pasal 121. membicarakan tentang?,pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan penuntutan dan terdapat pada pasal 132
"pidana denda sebagaimana dimaksud dalam pasal 132 ayat (1) huruf d dan huruf e serta biaya yang telah dikeluarkan jika penuntutan telah dimulai, dibayarkan kepada pejabat yang berwenang dalam jangka waktu yang telah ditetapkan. membicarakan tentang?",pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan penuntutan dan terdapat pada pasal 133
"jika diancamkan pula pidana tambahan berupa perampasan barang atau tagihan, barang dan/ atau tagihan yang dirampas harus diserahkan atau harus dibayar menurut taksiran pejabat sebagaimana dimaksud pada ayat (1) dalam hal barang dan/ atau tagihan tersebut sudah tidak berada dalam kekuasaan terpidana. membicarakan tentang?",pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan penuntutan dan terdapat pada pasal 133
"jika pidana diperberat ka-rena pengulangan, pemberatan tersebut tetap berlaku sekalipun kewenangan menuntut pidana terhadap tindak pidana yang dilakukan lebih dahulu gugur berdasarkan ketentuan sebagaimana dimaksud dalam pasal 132 ayat (1) huruf d dan huruf e. membicarakan tentang?",pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan penuntutan dan terdapat pada pasal 133
seseorang tidak dapat dituntut untuk kedua kalinya dalam 1 (satu) perkara yang sama jika untuk perkara tersebut telah ada putusan pengadilan yang telah memperoleh kekuatan hukum tetap. membicarakan tentang?,pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan penuntutan dan terdapat pada pasal 134
"jika putusan sebagaimana dimaksud dalam pasal 134 berasal dari pengadilan luar negeri, terhadap setiap orang yang melakukan tindak pidana yang sama tidak boleh diadakan penuntutan dalam hal: membicarakan tentang?",pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan penuntutan dan terdapat pada pasal 135
putusan bebas dari tuduhan atau lepas dari segala tuntutan hukum; atau membicarakan tentang?,pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan penuntutan dan terdapat pada pasal 135
"putusan berupa pemidanaan dan pidananya telah dijalani seluruhnya, telah diberi ampun, atau pelaksanaan pidana tersebut kedaluwarsa. membicarakan tentang?",pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan penuntutan dan terdapat pada pasal 135
kewenangan penuntutan dinyatakan gugur karena kedaluwarsa apabila: membicarakan tentang?,pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan penuntutan dan terdapat pada pasal 136
setelah melampaui waktu 3 (tiga) tahun untuk tindak pidana yang diancam dengan pidana penjara paling lama 1 (satu) tahun dan/ atau hanya denda paling banyak kategori iii; membicarakan tentang?,pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan penuntutan dan terdapat pada pasal 136
setelah melampaui waktu 6 (enam) tahun untuk tindak pidana yang diancam dengan pidana penjara di atas 1 (satu) tahun dan paling lama 3 (tiga) tahun; membicarakan tentang?,pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan penuntutan dan terdapat pada pasal 136
setelah melampaui waktu 12 (dua belas) tahun untuk tindak pidana yang diancam dengan pidana penjara di atas 3 (tiga) tahun dan paling lama 7 (tujuh) tahun; membicarakan tentang?,pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan penuntutan dan terdapat pada pasal 136
setelah melampaui waktu 18 (delapan belas) tahun untuk tindal< pidana yang diancam dengan pidana penjara di atas 7 (tujuh) tahun dan paling lama 15 (lima belas) tahun; dan membicarakan tentang?,pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan penuntutan dan terdapat pada pasal 136
"setelah melampaui waktu 20 (dua puluh) tahun untuk tindak pidana yang diancam dengan pidana penjara paling lama 20 (dua puluh) tahun, pidana penjara seumur hidup, atau pidana mati. membicarakan tentang?",pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan penuntutan dan terdapat pada pasal 136
"dalam hal tindak pidana dilakukan oleh anak, tenggang waktu gugurnya kewenangan untuk menuntut karena kedaluwarsa sebagaimana dimaksud pada ayat (l) dikurangi menjadi 1/3 (satu per tiga). membicarakan tentang?",pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan penuntutan dan terdapat pada pasal 136
"jangka waltu kedaluwarsa dihitung mulai keesokan hari setelah perbuatan dilalukan, kecuali bagi: membicarakan tentang?",pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan penuntutan dan terdapat pada pasal 137
"tindak pidana pemalsuan dan tindak pidana perusakan mata uang, kedaluwarsa dihitung mulai keesokan harinya setelah barang yang dipalsukan atau mata uang yang dirusak digunakan; atau membicarakan tentang?",pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan penuntutan dan terdapat pada pasal 137
"tindak pidana sebagaimana dimaksud dalam pasal 450, pasal 451, dan pasal 452 kedaluwarsa dihitung mulai keesokan harinya setelah korban tindak pidana dilepaskan atau mati sebagai akibat langsung dari tindak pidana tersebut. membicarakan tentang?",pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan penuntutan dan terdapat pada pasal 137
tindakan penuntutan tindak pidana menghentikan tenggang waktu kedaluwarsa. membicarakan tentang?,pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan penuntutan dan terdapat pada pasal 138
penghentian tenggang waktu kedaluwarsa sebagaimana dimaksud pada ayat (1) dihitung keesokan hari setelah tersangka atau terdakwa mengetahui atau diberitahukan mengenai penuntutan terhadap dirinya yang dilakukan sesuai dengan ketentuan peraturan perundang-undangan. membicarakan tentang?,pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan penuntutan dan terdapat pada pasal 138
"setelah kedaluwarsa dihentikan karena tindakan penuntutan, mulai diberlakukan tenggang waktu kedaluwarsa baru. membicarakan tentang?",pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan penuntutan dan terdapat pada pasal 138
"apabila penuntutan dihentikan untuk sementara waktu karena ada sengketa hukum yang harus diputuskan lebih dahulu, tenggang waktu kedaluwarsa penuntutan menjadi tertunda sampai sengketa tersebut mendapatkan putusan. membicarakan tentang?",pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan penuntutan dan terdapat pada pasal 139
"kewenangan pelaksanaan pidana dinyatakan gugur, jika: membicarakan tentang?",pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan pelaksanaan pidana dan terdapat pada pasal 140
terpidana meninggal dunia; membicarakan tentang?,pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan pelaksanaan pidana dan terdapat pada pasal 140
kedaluwarsa; membicarakan tentang?,pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan pelaksanaan pidana dan terdapat pada pasal 140
terpidana mendapat grasi atau amnesti; atau membicarakan tentang?,pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan pelaksanaan pidana dan terdapat pada pasal 140
penyerahan untuk pelaksanaan pidana ke negara lain membicarakan tentang?,pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan pelaksanaan pidana dan terdapat pada pasal 140
"jika terpidana meninggal dunia, pidana perampasan barang tertentu dan/atau tagihan yang telah disita tetap dapat dilaksanakan. membicarakan tentang?",pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan pelaksanaan pidana dan terdapat pada pasal 141
kewenangan pelaksanaan pidana gugur karena kedaluwarsa setelah berlaku tenggang waktu yang sama dengan tenggang waktu kedaluwarsa kewenangan menuntut sebagaimana dimaksud dalam pasal 136 ditambah 1/3 (satu per tiga). membicarakan tentang?,pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan pelaksanaan pidana dan terdapat pada pasal 142
tenggang waktu kedaluwarsa pelaksanaan pidana harus melebihi lama pidana yang dijatuhkan kecuali untuk pidana penjara seumur hidup. membicarakan tentang?,pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan pelaksanaan pidana dan terdapat pada pasal 142
"pelaksanaan pidana mati tidak mempunyai tenggang waktu kedaluwarsa, membicarakan tentang?",pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan pelaksanaan pidana dan terdapat pada pasal 142
"jika pidana mati diubah menjadi pidana penjara seumur hidup sebagaimana dimaksud dalam pasal 101, kewenangan pelaksanaan pidana gugur karena kedaluwarsa setelah lewat waktu yang sama dengan tenggang waktu kedaluwarsa kewenangan menuntut sebagaimana dimaksud dalam pasal 136 ayat (1) huruf e ditambah 1 / 3 (satu per tiga) dari tenggang waktu kedaluwarsa tersebut. membicarakan tentang?",pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan pelaksanaan pidana dan terdapat pada pasal 142
tenggang waktu kedaluwarsa pelaksanaan pidana dihitung keesokan harinya sejak putusan pengadilan dapat dilaksanakan. membicarakan tentang?,pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan pelaksanaan pidana dan terdapat pada pasal 143
apabila terpidana melarikan diri sewaktu menjalani pidana maka tenggang waktu kedaluwarsa dihitung keesokan harinya sejak tanggal terpidana tersebut melarikan diri. membicarakan tentang?,pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan pelaksanaan pidana dan terdapat pada pasal 143
"apabila pembebasan bersyarat terhadap narapidana dicabut, tenggang waktu kedaluwarsa dihitung keesokan harinya sejak tanggal pencabutan. membicarakan tentang?",pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan pelaksanaan pidana dan terdapat pada pasal 143
tenggang waktu kedaluwarsa pelaksanaan pidana ditunda selama: membicarakan tentang?,pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan pelaksanaan pidana dan terdapat pada pasal 143
pelaksanaan pidana tersebut ditunda berdasarkan peraturan perundang-undangan; atau membicarakan tentang?,pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan pelaksanaan pidana dan terdapat pada pasal 143
terpidana dirampas kemerdekaannya meskipun perampasan kemerdekaan tersebut berkaitan dengan putusan pengadilan untuk tindak pidana lain. membicarakan tentang?,pasal tersebut membicarakan gugurnya kewenangan penuntutan dan pelaksanaan pidana gugurnya kewenangan pelaksanaan pidana dan terdapat pada pasal 143
"tindak pidana adalah termasuk juga permufakatan jahat, persiapan, percobaan, dan pembantuan melakukan tindak pidana, kecuali ditentukan lain dalam undang-undang. membicarakan tentang?",pasal tersebut membicarakan pengertian istilah nan dan terdapat pada pasal 144
"setiap orang korporasi. adalah orang perseorangan, termasuk korporasi membicarakan tentang?",pasal tersebut membicarakan pengertian istilah nan dan terdapat pada pasal 145
"korporasi adalah kumpulan terorganisasi dari orang dan/atau kekayaan, baik merupakan badan hukum yang berbentuk perseroan terbatas, yayasan, perkumpulan, koperasi, badan usaha milik negara, badan usaha milik daerah, badan usaha milik desa, atau yang disamakan dengan itu, maupun perkumpulan yang tidak berbadan hukum atau badan usaha yang berbentuk firma, persekutuan komanditer, atau yang disamakan dengan itu. membicarakan tentang?",pasal tersebut membicarakan pengertian istilah nan dan terdapat pada pasal 146
"barang adalah benda berwujud atau tidak berwujud, benda bergerak atau tidak bergerak termasuk air dan uang giral, aliran listrik, gas, data, dan program komputer. membicarakan tentang?",pasal tersebut membicarakan pengertian istilah nan dan terdapat pada pasal 147
"surat adalah dokumen yang ditulis di atas kertas, termasuk juga dokumen atau data yang tertulis atau tersimpan dalam disket, pita magnetik, atau media penylmpan komputer atau media penyimpan data elektronik lain. membicarakan tentang?",pasal tersebut membicarakan pengertian istilah nan dan terdapat pada pasal 148
korban adalah orang yang mengalami penderitaan fisik dan mental dan/ atau kerugian ekonomi yang diakibatkan oleh tindak pidana. membicarakan tentang?,pasal tersebut membicarakan pengertian istilah nan dan terdapat pada pasal 149
anak adalah seseorang yang belum berumur 18 (delapan belas) tahun. membicarakan tentang?,pasal tersebut membicarakan pengertian istilah nan dan terdapat pada pasal 150
orang tfia adalah termasuk juga kepala keluarga membicarakan tentang?,pasal tersebut membicarakan pengertian istilah nan dan terdapat pada pasal 151
ayah adalah termasuk juga orang yang menjalankan kekuasaan yang sama dengan ayah membicarakan tentang?,pasal tersebut membicarakan pengertian istilah nan dan terdapat pada pasal 152
kekuasaan ayah adalah termasuk juga kekuasaan kepala keluarga. membicarakan tentang?,pasal tersebut membicarakan pengertian istilah nan dan terdapat pada pasal 153
"pejabat adalah setiap warga negara indonesia yang telah memenuhi syarat yang ditentukan, diangkat oleh pejabat yang berwenang dan diserahi tugas negara, atau diserahi tugas lain oleh negara, dan digaji berdasarkan ketentuan peraturan perundang-undangan, yaitu: membicarakan tentang?",pasal tersebut membicarakan pengertian istilah nan dan terdapat pada pasal 154
"aparatur sipil negara, anggota kepolisian negara republik indonesia, dan anggota tentara nasional indonesia; membicarakan tentang?",pasal tersebut membicarakan pengertian istilah nan dan terdapat pada pasal 154
pejabat negara; membicarakan tentang?,pasal tersebut membicarakan pengertian istilah nan dan terdapat pada pasal 154
pejabat publik; membicarakan tentang?,pasal tersebut membicarakan pengertian istilah nan dan terdapat pada pasal 154
pejabat daerah; membicarakan tentang?,pasal tersebut membicarakan pengertian istilah nan dan terdapat pada pasal 154
orang yang menerima gaji atau upah dari keuangan negara atau daerah; membicarakan tentang?,pasal tersebut membicarakan pengertian istilah nan dan terdapat pada pasal 154
orang yang menerima gaji atau upah dari korporasi yang selumh atau sebagran besar modalnya milik negara atau daerah; atau membicarakan tentang?,pasal tersebut membicarakan pengertian istilah nan dan terdapat pada pasal 154
pejabat lain yang ditentukan berdasarkan peraturan perundang-undangan. membicarakan tentang?,pasal tersebut membicarakan pengertian istilah nan dan terdapat pada pasal 154
luka berat adalah: membicarakan tentang?,pasal tersebut membicarakan pengertian istilah nan dan terdapat pada pasal 155
sakit atau luka yang tidak ada harapan untuk sembuh dengan sempurna atau yang dapat menimbulkan bahaya maut; membicarakan tentang?,pasal tersebut membicarakan pengertian istilah nan dan terdapat pada pasal 155
"terus-menerus tidak cakap lagi melakukan tugas, jabatan, atau pekerjaan; membicarakan tentang?",pasal tersebut membicarakan pengertian istilah nan dan terdapat pada pasal 155
tidak dapat menggunakan lagi salah satu panca indera atau salah satu anggota tubuh; membicarakan tentang?,pasal tersebut membicarakan pengertian istilah nan dan terdapat pada pasal 155
cacat berat atau cacat permanen; membicarakan tentang?,pasal tersebut membicarakan pengertian istilah nan dan terdapat pada pasal 155
lumpuh; membicarakan tentang?,pasal tersebut membicarakan pengertian istilah nan dan terdapat pada pasal 155
daya pikir terganggu selama lebih dari 4 (empat) minggu; membicarakan tentang?,pasal tersebut membicarakan pengertian istilah nan dan terdapat pada pasal 155
gugur atau matinya kandungan; atau membicarakan tentang?,pasal tersebut membicarakan pengertian istilah nan dan terdapat pada pasal 155
rusaknya fungsi reproduksi. membicarakan tentang?,pasal tersebut membicarakan pengertian istilah nan dan terdapat pada pasal 155
"kekerasan adalah setiap perbuatan dengan atau tanpa menggunakan kekuatan fisik yang menimbulkan bahaya bagi badan atau nyawa, mengakibatkan penderitaan fisik, seksual, atau psikologis, dan merampas kemerdekaan, termasuk menjadikan orang pingsan atau tidak berdaya. membicarakan tentang?",pasal tersebut membicarakan pengertian istilah nan dan terdapat pada pasal 156
"ancaman kekerasan adalah setiap perbuatan berupa ucapan, tulisan, gambar, simbol, atau gerakan tubuh, baik dengan maupun tanpa menggunakan sarana dalam bentuk elektronik atau nonelektronik yang dapat menimbulkan rasa takut, cemas, atau khawatir akan dilakukannya kekerasan. membicarakan tentang?",pasal tersebut membicarakan pengertian istilah nan dan terdapat pada pasal 157
"di muka umum adalah di suatu tempat atau ruang yang dapat dilihat, didatangi, diketahui, atau disaksikan oleh orang lain baik secara langsung maupun secara tidak langsung melalui media elektronik yang membuat publik dapat mengakses informasi elektronik atau dokumen elektronik membicarakan tentang?",pasal tersebut membicarakan pengertian istilah nan dan terdapat pada pasal 158
"harta kekayaan adalah benda bergerak atau benda tidak bergerak, baik yang berwujud maupun yang tidak berwujud, yang memiliki nilai ekonomi. membicarakan tentang?",pasal tersebut membicarakan pengertian istilah nan dan terdapat pada pasal 159
makar adalah niat untuk melakukan serangan yang telah diwujudkan dengan persiapan perbuatan tersebut. membicarakan tentang?,pasal tersebut membicarakan pengertian istilah nan dan terdapat pada pasal 160
